id,createdAt,updatedAt,primary,secondary,teamId
1,2021-03-26 04:11:06.78,2021-03-26 04:11:06.78,#002D62,#FDBB30,1610612754
2,2021-03-26 04:11:06.876,2021-03-26 04:11:06.876,#0C2340,#236192,1610612750
3,2021-03-26 04:11:06.882,2021-03-26 04:11:06.882,#CE1141,#000000,1610612741
4,2021-03-26 04:11:06.888,2021-03-26 04:11:06.888,#CE1141,#000000,1610612761
5,2021-03-26 04:11:06.894,2021-03-26 04:11:06.894,# 002B5C,#E31837,1610612764
6,2021-03-26 04:11:06.899,2021-03-26 04:11:06.899,#C4CED4,#000000,1610612759
7,2021-03-26 04:11:06.905,2021-03-26 04:11:06.905,#5A2D81,#63727A,1610612758
8,2021-03-26 04:11:06.91,2021-03-26 04:11:06.91,#002B5C,#F9A01B,1610612762
9,2021-03-26 04:11:06.916,2021-03-26 04:11:06.916,#98002E,#000000,1610612748
10,2021-03-26 04:11:06.921,2021-03-26 04:11:06.921,#E03A3E,#000000,1610612757
11,2021-03-26 04:11:06.927,2021-03-26 04:11:06.927,#1D1160,#E56020,1610612756
12,2021-03-26 04:11:06.932,2021-03-26 04:11:06.932,#5D76A9,#12173F,1610612763
13,2021-03-26 04:11:06.938,2021-03-26 04:11:06.938,#00471B,#EEE1C6,1610612749
14,2021-03-26 04:11:06.943,2021-03-26 04:11:06.943,#007AC1,#EF3B24,1610612760
15,2021-03-26 04:11:06.948,2021-03-26 04:11:06.948,#006BB6,#D50032,1610612755
16,2021-03-26 04:11:06.954,2021-03-26 04:11:06.954,#006BB6,#F58426,1610612752
17,2021-03-26 04:11:06.959,2021-03-26 04:11:06.959,#0C2340,#C8102E,1610612740
18,2021-03-26 04:11:06.964,2021-03-26 04:11:06.964,#C8102E,#1D428A,1610612746
19,2021-03-26 04:11:06.97,2021-03-26 04:11:06.97,#552583,#FDB927,1610612747
20,2021-03-26 04:11:06.975,2021-03-26 04:11:06.975,#0077C0,#C4CED4,1610612753
21,2021-03-26 04:11:06.98,2021-03-26 04:11:06.98,#1D428A,#FFC72C,1610612744
22,2021-03-26 04:11:06.985,2021-03-26 04:11:06.985,#0E2240,#FEC524,1610612743
23,2021-03-26 04:11:06.991,2021-03-26 04:11:06.991,#C8102E,#1D42BA,1610612765
24,2021-03-26 04:11:06.996,2021-03-26 04:11:06.996,#CE1141,#000000,1610612745
25,2021-03-26 04:11:07.001,2021-03-26 04:11:07.001,#00538C,#B8C4CA,1610612742
26,2021-03-26 04:11:07.007,2021-03-26 04:11:07.007,#000000,#FFFFFF,1610612751
27,2021-03-26 04:11:07.013,2021-03-26 04:11:07.013,#E03A3E,#C1D32F,1610612737
28,2021-03-26 04:11:07.018,2021-03-26 04:11:07.018,#007A33,#BA9653,1610612738
29,2021-03-26 04:11:07.024,2021-03-26 04:11:07.024,#860038,#041E42,1610612739
30,2021-03-26 04:11:07.029,2021-03-26 04:11:07.029,#1D1160,#00788C,1610612766
