id,createdAt,updatedAt,handle,name,teamId,type,isAssistant
1,2021-03-26 19:04:40.176,2021-03-26 19:04:40.176,202603,Lloyd Pierce,,Head Coach,1
21,2021-03-26 19:04:40.18,2021-03-26 19:04:40.18,1627510,Travon Bryant,,Assistant Coach,2
22,2021-03-26 19:04:40.182,2021-03-26 19:04:40.182,1628766,Lloyd Beckett,,Trainer,3
35,2021-03-26 19:04:40.189,2021-03-26 19:04:40.189,204035,Jay Hernandez,,Assistant Coach,2
39,2021-03-26 19:04:40.191,2021-03-26 19:04:40.191,203809,Shawn Respert,,Assistant Coach,2
47,2021-03-26 19:04:40.223,2021-03-26 19:04:40.223,1800,Damon Jones,,Assistant Coach,2
48,2021-03-26 19:04:40.225,2021-03-26 19:04:40.225,204023,James Posey,,Assistant Coach,2
59,2021-03-26 19:04:40.233,2021-03-26 19:04:40.233,202430,Mark Price,,Assistant Coach,2
1628807,2021-03-26 19:04:40.048,2021-03-26 19:05:40.926,1628807,Brandon Bailey,1610612738,Assistant Coach,2
202979,2021-03-26 19:04:40.044,2021-03-26 19:05:40.934,202979,Jamie Young,1610612738,Assistant Coach,2
1627329,2021-03-26 19:04:40.033,2021-03-26 19:05:40.941,1627329,Scott Morrison,1610612738,Assistant Coach,2
1628210,2021-03-26 19:04:40.066,2021-03-26 19:05:40.975,1628210,Joe Mazzulla,1610612738,Assistant Coach,2
203168,2021-03-26 19:04:40.043,2021-03-26 19:05:40.983,203168,Jay Larranaga,1610612738,Assistant Coach,2
1628765,2021-03-26 19:04:40.071,2021-03-26 19:05:40.99,1628765,Art Horne,1610612738,Trainer,3
959,2021-03-26 19:04:40.083,2021-03-26 19:05:41.198,959,Steve Nash,1610612751,Head Coach,1
202588,2021-03-26 19:04:40.088,2021-03-26 19:05:41.229,202588,Jacque Vaughn,1610612751,Lead Assistant Coach,13
1783,2021-03-26 19:04:40.09,2021-03-26 19:05:41.238,1783,Mike D'Antoni,1610612751,Assistant Coach,2
203152,2021-03-26 19:04:40.092,2021-03-26 19:05:41.248,203152,Ime Udoka,1610612751,Assistant Coach,2
1627876,2021-03-26 19:04:40.094,2021-03-26 19:05:41.274,1627876,Adam Harrington,1610612751,Assistant Coach,2
202435,2021-03-26 19:04:40.097,2021-03-26 19:05:41.586,202435,James Borrego,1610612766,Head Coach,1
203753,2021-03-26 19:04:40.118,2021-03-26 19:05:41.593,203753,Ronald Nored,1610612766,Assistant Coach,2
2472,2021-03-26 19:04:40.121,2021-03-26 19:05:41.6,2472,Jay Triano,1610612766,Assistant Coach,2
202602,2021-03-26 19:04:40.177,2021-03-26 19:05:41.626,202602,Chad Iske,1610612766,Assistant Coach,2
101278,2021-03-26 19:04:40.184,2021-03-26 19:05:41.633,101278,Joe Sharpe,1610612766,Trainer,3
201666,2021-03-26 19:04:40.187,2021-03-26 19:05:41.639,201666,Dennis Williams,1610612766,Assistant Trainer,4
1627310,2021-03-26 19:04:40.124,2021-03-26 19:05:41.846,1627310,Billy Donovan,1610612741,Head Coach,1
1627604,2021-03-26 19:04:40.126,2021-03-26 19:05:41.871,1627604,Chris Fleming,1610612741,Assistant Coach,2
2511,2021-03-26 19:04:40.127,2021-03-26 19:05:41.88,2511,Mike Wilhelm,1610612741,Assistant Coach,2
204031,2021-03-26 19:04:40.179,2021-03-26 19:05:41.896,204031,Joshua Longstaff,1610612741,Assistant Coach,2
1312,2021-03-26 19:04:40.193,2021-03-26 19:05:41.922,1312,Maurice Cheeks,1610612741,Assistant Coach,2
2394,2021-03-26 19:04:40.195,2021-03-26 19:05:41.93,2394,Pete Myers,1610612741,Assistant Coach,2
1629710,2021-03-26 19:04:40.131,2021-03-26 19:05:42.18,1629710,Lindsay Gottlieb,1610612739,Assistant Coach,2
204238,2021-03-26 19:04:40.132,2021-03-26 19:05:42.193,204238,Antonio Lang,1610612739,Assistant Coach,2
1629110,2021-03-26 19:04:40.134,2021-03-26 19:05:42.2,1629110,Dan Geriot,1610612739,Assistant Coach,2
202565,2021-03-26 19:04:40.197,2021-03-26 19:05:42.227,202565,Mike Gerrity,1610612739,Assistant Coach,2
204286,2021-03-26 19:04:40.22,2021-03-26 19:05:42.234,204286,Stephen Spiro,1610612739,Trainer,3
1320,2021-03-26 19:04:40.136,2021-03-26 19:05:42.449,1320,Rick Carlisle,1610612742,Head Coach,1
202427,2021-03-26 19:04:40.138,2021-03-26 19:05:42.484,202427,Jamahl Mosley,1610612742,Assistant Coach,2
1628782,2021-03-26 19:04:40.217,2021-03-26 19:05:42.499,1628782,Mike Weinar,1610612742,Assistant Coach,2
2868,2021-03-26 19:04:40.229,2021-03-26 19:05:42.526,2868,Casey Smith,1610612742,Trainer,3
2871,2021-03-26 19:04:40.23,2021-03-26 19:05:42.534,2871,Dionne Calhoun,1610612742,Assistant Trainer,4
2610,2021-03-26 19:04:40.141,2021-03-26 19:05:42.746,2610,Michael Malone,1610612743,Head Coach,1
203391,2021-03-26 19:04:40.143,2021-03-26 19:05:42.771,203391,Ryan Bowen,1610612743,Assistant Coach,2
202894,2021-03-26 19:04:40.145,2021-03-26 19:05:42.78,202894,Charles Klask,1610612743,Assistant Coach,2
203165,2021-03-26 19:04:40.147,2021-03-26 19:05:42.786,203165,Bob Weiss,1610612743,Assistant Coach,2
203600,2021-03-26 19:04:40.227,2021-03-26 19:05:42.794,203600,David Adelman,1610612743,Assistant Coach,2
203759,2021-03-26 19:04:40.235,2021-03-26 19:05:42.8,203759,Jordi Fernandez,1610612743,Assistant Coach,2
1018,2021-03-26 19:04:40.237,2021-03-26 19:05:42.827,1018,Wes Unseld,1610612743,Assistant Coach,2
1627167,2021-03-26 19:04:40.241,2021-03-26 19:05:42.834,1627167,Dan Shimensky,1610612743,Trainer,3
204230,2021-03-26 19:04:40.168,2021-03-26 19:05:43.071,204230,Tim Hardaway,1610612765,Assistant Coach,2
1336,2021-03-26 19:04:40.17,2021-03-26 19:05:43.079,1336,Tim Grgurich,1610612765,Assistant Coach,2
202101,2021-03-26 19:04:40.239,2021-03-26 19:05:43.086,202101,Micah Nori,1610612765,Assistant Coach,2
204085,2021-03-26 19:04:40.244,2021-03-26 19:05:43.092,204085,Sean Sweeney,1610612765,Assistant Coach,2
1226,2021-03-26 19:04:40.247,2021-03-26 19:05:43.098,1226,Sidney Lowe,1610612765,Assistant Coach,2
201678,2021-03-26 19:04:40.242,2021-03-26 19:05:43.125,201678,Jim Scholler,1610612765,Trainer,3
204239,2021-03-26 19:04:40.275,2021-03-26 19:05:43.33,204239,Jarron Collins,1610612744,Assistant Coach,2
1658,2021-03-26 19:04:40.174,2021-03-26 19:05:43.337,1658,Mike Brown,1610612744,Assistant Coach,2
204260,2021-03-26 19:04:40.246,2021-03-26 19:05:43.343,204260,Bruce Fraser,1610612744,Assistant Coach,2
1796,2021-03-26 19:04:40.267,2021-03-26 19:05:43.35,1796,Ron Adams,1610612744,Assistant Coach,2
1627666,2021-03-26 19:04:40.269,2021-03-26 19:05:43.375,1627666,Chris DeMarco,1610612744,Assistant Coach for Player Development,12
2152,2021-03-26 19:04:40.271,2021-03-26 19:05:43.594,2152,Stephen Silas,1610612745,Head Coach,1
1786,2021-03-26 19:04:40.276,2021-03-26 19:05:43.627,1786,John Lucas,1610612745,Assistant Coach,2
201675,2021-03-26 19:04:40.28,2021-03-26 19:05:43.945,201675,Carl Eaton,1610612754,Assistant Trainer,4
202978,2021-03-26 19:04:40.283,2021-03-26 19:05:44.144,202978,Tyronn Lue,1610612746,Head Coach,1
2630,2021-03-26 19:04:40.29,2021-03-26 19:05:45.792,2630,Bob Beyer,1610612740,Assistant Coach,2
203375,2021-03-26 19:04:40.041,2021-03-26 19:05:46.092,203375,Darren Erman,1610612752,Assistant Coach,2
1629450,2021-03-26 19:04:40.273,2021-03-26 19:05:46.099,1629450,Larry Greer,1610612752,Assistant Coach,2
1370,2021-03-26 19:04:40.278,2021-03-26 19:05:46.139,1370,Roger Hinds,1610612752,Trainer,3
1629758,2021-03-26 19:04:40.281,2021-03-26 19:05:46.349,1629758,Dave Bliss,1610612760,Assistant Coach,2
203758,2021-03-26 19:04:40.046,2021-03-26 19:05:46.376,203758,Mike Miller,1610612760,Assistant Coach,2
2366,2021-03-26 19:04:40.286,2021-03-26 19:05:46.383,2366,Mike Wilks,1610612760,Assistant Coach,2
202859,2021-03-26 19:04:40.285,2021-03-26 19:05:46.396,202859,David Akinyooye,1610612760,Assistant Coach,2
204013,2021-03-26 19:04:40.291,2021-03-26 19:05:46.676,204013,Pat Delany,1610612753,Assistant Coach,2
1629169,2021-03-26 19:04:40.075,2021-03-26 19:05:46.924,1629169,Brian Adams,1610612755,Assistant Coach,2
1629427,2021-03-26 19:04:40.076,2021-03-26 19:05:47.182,1629427,Brian Randle,1610612756,Assistant Coach,2
1865,2021-03-26 19:04:40.078,2021-03-26 19:05:47.188,1865,Randy Ayers,1610612756,Assistant Coach,2
201046,2021-03-26 19:04:40.08,2021-03-26 19:05:47.739,201046,Lindsey Harding,1610612758,Assistant Coach,2
1627564,2021-03-26 19:04:40.081,2021-03-26 19:05:47.77,1627564,Jonah Herscu,1610612758,Assistant Coach,2
278,2021-03-26 19:04:40.086,2021-03-26 19:05:47.799,278,Stacey Augmon,1610612758,Assistant Coach for Player Development,12
90,2021-03-26 19:04:40.323,2021-03-26 19:04:40.323,200874,Bill Bayno,,Assistant Coach,2
194,2021-03-26 19:04:40.375,2021-03-26 19:04:40.375,203782,Chris Stackpole,,Assistant Coach,2
81,2021-03-26 19:04:40.436,2021-03-26 19:04:40.436,1628180,Dan Hartfield,,Assistant Coach,2
97,2021-03-26 19:04:40.438,2021-03-26 19:04:40.438,101280,John Welch,,Assistant Coach,2
112,2021-03-26 19:04:40.443,2021-03-26 19:04:40.443,1629885,Niele Ivey,,Assistant Coach,2
145,2021-03-26 19:04:40.473,2021-03-26 19:04:40.473,2008,Aaron Nelson,,Trainer,3
156,2021-03-26 19:04:40.476,2021-03-26 19:04:40.476,1627939,Jud Buechler,,Assistant Coach,2
143,2021-03-26 19:04:40.477,2021-03-26 19:04:40.477,1279,Jeff Bzdelik,,Associate Head Coach,9
183,2021-03-26 19:04:40.537,2021-03-26 19:04:40.537,2581,Steve Blake,,Assistant Coach,2
202743,2021-03-26 19:04:40.379,2021-03-26 19:05:41.887,202743,John Bryant,1610612741,Assistant Coach,2
1628785,2021-03-26 19:04:40.494,2021-03-26 19:05:42.476,1628785,Zach Guthrie,1610612742,Assistant Coach,2
201765,2021-03-26 19:04:40.32,2021-03-26 19:05:43.887,201765,Nate Bjorkgren,1610612754,Head Coach,1
201696,2021-03-26 19:04:40.373,2021-03-26 19:05:43.901,201696,Kaleb Canales,1610612754,Assistant Coach,2
101200,2021-03-26 19:04:40.398,2021-03-26 19:05:43.939,101200,Josh Corbeil,1610612754,Trainer,3
2814,2021-03-26 19:04:40.332,2021-03-26 19:05:44.232,2814,Brendan O'Connor,1610612746,Assistant Coach,2
2345,2021-03-26 19:04:40.346,2021-03-26 19:05:44.433,2345,Frank Vogel,1610612747,Head Coach,1
1629748,2021-03-26 19:04:40.387,2021-03-26 19:05:44.44,1629748,Quinton Crawford,1610612747,Assistant Coach,2
1353,2021-03-26 19:04:40.529,2021-03-26 19:05:44.447,1353,Lionel Hollins,1610612747,Assistant Coach,2
203456,2021-03-26 19:04:40.431,2021-03-26 19:05:44.474,203456,Jason Kidd,1610612747,Assistant Coach,2
203597,2021-03-26 19:04:40.442,2021-03-26 19:05:44.482,203597,Phil Handy,1610612747,Assistant Coach,2
2130,2021-03-26 19:04:40.44,2021-03-26 19:05:44.496,2130,Mike Penberthy,1610612747,Assistant Coach,2
203624,2021-03-26 19:04:40.348,2021-03-26 19:05:44.734,203624,Taylor Jenkins,1610612763,Head Coach,1
2086,2021-03-26 19:04:40.481,2021-03-26 19:05:44.771,2086,Scoonie Penn,1610612763,Assistant Coach,2
1628234,2021-03-26 19:04:40.421,2021-03-26 19:05:44.792,1628234,David McClure,1610612763,Assistant Coach,2
1630018,2021-03-26 19:04:40.445,2021-03-26 19:05:44.827,1630018,Eric Oetter,1610612763,Trainer,3
1787,2021-03-26 19:04:40.532,2021-03-26 19:05:45.02,1787,Erik Spoelstra,1610612748,Head Coach,1
204229,2021-03-26 19:04:40.368,2021-03-26 19:05:45.033,204229,Malik Allen,1610612748,Assistant Coach,2
204226,2021-03-26 19:04:40.391,2021-03-26 19:05:45.046,204226,Chris Quinn,1610612748,Assistant Coach,2
1281,2021-03-26 19:04:40.447,2021-03-26 19:05:45.077,1281,Jay Sabol,1610612748,Trainer,3
1628784,2021-03-26 19:04:40.338,2021-03-26 19:05:45.27,1628784,Pat St. Andrews,1610612749,Assistant Coach,2
2649,2021-03-26 19:04:40.484,2021-03-26 19:05:45.278,2649,Chad Forcier,1610612749,Assistant Coach,2
203005,2021-03-26 19:04:40.467,2021-03-26 19:05:45.285,203005,Darvin Ham,1610612749,Assistant Coach,2
201692,2021-03-26 19:04:40.469,2021-03-26 19:05:45.332,201692,Scott Faust,1610612749,Trainer,3
202896,2021-03-26 19:04:40.486,2021-03-26 19:05:45.525,202896,Chris Finch,1610612750,Head Coach,1
203150,2021-03-26 19:04:40.434,2021-03-26 19:05:45.533,203150,David Vanterpool,1610612750,Associate Head Coach,9
1628772,2021-03-26 19:04:40.471,2021-03-26 19:05:45.54,1628772,Kevin Burleson,1610612750,Assistant Coach,2
974,2021-03-26 19:04:40.34,2021-03-26 19:05:45.546,974,Joseph Blair,1610612750,Assistant Coach,2
202109,2021-03-26 19:04:40.517,2021-03-26 19:05:45.581,202109,Bryan Gates,1610612750,Assistant Coach,2
2146,2021-03-26 19:04:40.535,2021-03-26 19:05:45.588,2146,Gregg Farnam,1610612750,Trainer,3
203243,2021-03-26 19:04:40.37,2021-03-26 19:05:45.824,203243,Casey Hill,1610612740,Assistant Coach,2
1301,2021-03-26 19:04:40.479,2021-03-26 19:05:46.05,1301,Tom Thibodeau,1610612752,Head Coach,1
204008,2021-03-26 19:04:40.482,2021-03-26 19:05:46.072,204008,Johnnie Bryant,1610612752,Associate Head Coach,9
1630161,2021-03-26 19:04:40.492,2021-03-26 19:05:46.079,1630161,Kenny Payne,1610612752,Lead Assistant Coach,13
2519,2021-03-26 19:04:40.497,2021-03-26 19:05:46.125,2519,Andy Greer,1610612752,Assistant Coach,2
101269,2021-03-26 19:04:40.525,2021-03-26 19:05:46.132,101269,Anthony Goenaga,1610612752,Trainer,3
1627327,2021-03-26 19:04:40.527,2021-03-26 19:05:46.342,1627327,Mark Daigneault,1610612760,Head Coach,1
1628178,2021-03-26 19:04:40.53,2021-03-26 19:05:46.39,1628178,Vin Bhavnani,1610612760,Assistant Coach,2
1629423,2021-03-26 19:04:40.533,2021-03-26 19:05:46.42,1629423,Donnie Strack,1610612760,Trainer,3
2168,2021-03-26 19:04:40.541,2021-03-26 19:05:46.63,2168,Steve Clifford,1610612753,Head Coach,1
2821,2021-03-26 19:04:40.296,2021-03-26 19:05:46.643,2821,Ty Corbin,1610612753,Assistant Coach,2
204004,2021-03-26 19:04:40.54,2021-03-26 19:05:46.65,204004,Steve Hetzel,1610612753,Assistant Coach,2
2720,2021-03-26 19:04:40.295,2021-03-26 19:05:46.695,2720,Ernest Eugene,1610612753,Trainer,3
2515,2021-03-26 19:04:40.334,2021-03-26 19:05:46.932,2515,Dan Burke,1610612755,Assistant Coach,2
202108,2021-03-26 19:04:40.336,2021-03-26 19:05:46.939,202108,Sam Cassell,1610612755,Assistant Coach,2
202434,2021-03-26 19:04:40.345,2021-03-26 19:05:46.945,202434,Popeye Jones,1610612755,Assistant Coach,2
201220,2021-03-26 19:04:40.325,2021-03-26 19:05:46.971,201220,David Joerger,1610612755,Assistant Coach,2
1360,2021-03-26 19:04:40.329,2021-03-26 19:05:46.979,1360,Kevin Johnson,1610612755,Trainer,3
101273,2021-03-26 19:04:40.371,2021-03-26 19:05:47.175,101273,Monty Williams,1610612756,Head Coach,1
202111,2021-03-26 19:04:40.366,2021-03-26 19:05:47.195,202111,Kevin Young,1610612756,Assistant Coach,2
1337,2021-03-26 19:04:40.298,2021-03-26 19:05:47.424,1337,Terry Stotts,1610612757,Head Coach,1
203170,2021-03-26 19:04:40.341,2021-03-26 19:05:47.445,203170,Dale Osbourne,1610612757,Assistant Coach,2
2457,2021-03-26 19:04:40.381,2021-03-26 19:05:47.475,2457,Jannero Pargo,1610612757,Assistant Coach,2
101272,2021-03-26 19:04:40.377,2021-03-26 19:05:47.482,101272,Geoff Clark,1610612757,Trainer,3
1243,2021-03-26 19:04:40.343,2021-03-26 19:05:47.725,1243,Alvin Gentry,1610612758,Associate Head Coach,9
1672,2021-03-26 19:04:40.389,2021-03-26 19:05:47.732,1672,Rex Kalamian,1610612758,Assistant Coach,2
1629711,2021-03-26 19:04:40.384,2021-03-26 19:05:47.778,1629711,Roy Rana,1610612758,Assistant Coach,2
1627331,2021-03-26 19:04:40.393,2021-03-26 19:05:47.826,1627331,Will Scott,1610612758,Assistant Coach for Player Development,12
203167,2021-03-26 19:04:40.382,2021-03-26 19:05:47.833,203167,Joe Resendez,1610612758,Trainer,3
873,2021-03-26 19:04:40.396,2021-03-26 19:05:48.03,873,Gregg Popovich,1610612759,Head Coach,1
1628188,2021-03-26 19:04:40.418,2021-03-26 19:05:48.036,1628188,Mitch Johnson,1610612759,Assistant Coach,2
2443,2021-03-26 19:04:40.424,2021-03-26 19:05:48.043,2443,Darius Songaila,1610612759,Assistant Coach,2
2887,2021-03-26 19:04:40.488,2021-03-26 19:05:48.049,2887,Chip Engelland,1610612759,Assistant Coach,2
203606,2021-03-26 19:04:40.52,2021-03-26 19:05:48.271,203606,Nick Nurse,1610612761,Head Coach,1
1629821,2021-03-26 19:04:40.522,2021-03-26 19:05:48.279,1629821,Jon Goodwillie,1610612761,Assistant Coach,2
203604,2021-03-26 19:04:40.428,2021-03-26 19:05:48.285,203604,Jama Mahlalela,1610612761,Assistant Coach,2
1356,2021-03-26 19:04:40.426,2021-03-26 19:05:48.329,1356,Scott McCullough,1610612761,Trainer,3
202439,2021-03-26 19:04:40.495,2021-03-26 19:05:48.537,202439,Quin Snyder,1610612762,Head Coach,1
101203,2021-03-26 19:04:40.43,2021-03-26 19:05:48.643,101203,Eric Waters,1610612762,Trainer,3
1627328,2021-03-26 19:04:40.524,2021-03-26 19:05:48.933,1627328,Jarell Christian,1610612764,Assistant Coach,2
175,2021-03-26 19:04:40.572,2021-03-26 19:04:40.572,1639,Jim O'Brien,,Assistant Coach,2
144,2021-03-26 19:04:40.583,2021-03-26 19:04:40.583,204235,Kevin Hanson,,Assistant Coach,2
205,2021-03-26 19:04:40.594,2021-03-26 19:04:40.594,1495,Tim Duncan,,Assistant Coach,2
215,2021-03-26 19:04:40.624,2021-03-26 19:04:40.624,1629822,Brittni Donaldson,,Assistant Coach,2
123,2021-03-26 19:04:40.638,2021-03-26 19:04:40.638,203598,Juwan Howard,,Assistant Coach,2
136,2021-03-26 19:04:40.642,2021-03-26 19:04:40.642,201687,Ed Pinckney,,Assistant Coach,2
139,2021-03-26 19:04:40.644,2021-03-26 19:04:40.644,1291,Jerry Sichting,,Assistant Coach,2
154,2021-03-26 19:04:40.666,2021-03-26 19:04:40.666,2815,Pat Sullivan,,Assistant Coach,2
217,2021-03-26 19:04:40.669,2021-03-26 19:04:40.669,2820,Mark McKown,,Assistant Coach,2
26,2021-03-26 19:04:40.69,2021-03-26 19:04:40.69,203596,Bret Brielmaier,,Assistant Coach,2
231,2021-03-26 19:04:40.692,2021-03-26 19:04:40.692,1629411,Jeff Bangs,,Trainer,3
84,2021-03-26 19:04:40.721,2021-03-26 19:04:40.721,202897,Brett Gunning,,Assistant Coach,2
85,2021-03-26 19:04:40.723,2021-03-26 19:04:40.723,1322,Elston Turner,,Assistant Coach,2
87,2021-03-26 19:04:40.725,2021-03-26 19:04:40.725,203241,Matt Brase,,Assistant Coach,2
100,2021-03-26 19:04:40.732,2021-03-26 19:04:40.732,202893,Dee Brown,,Assistant Coach,2
99,2021-03-26 19:04:40.734,2021-03-26 19:04:40.734,2663,Armond Hill,,Assistant Coach,2
134,2021-03-26 19:04:40.743,2021-03-26 19:04:40.743,202443,Ryan Saunders,,Head Coach,1
2607,2021-03-26 19:04:40.628,2021-03-26 19:05:40.6,2607,Chris Jent,1610612737,Assistant Coach,2
2384,2021-03-26 19:04:40.746,2021-03-26 19:05:40.626,2384,Melvin Hunt,1610612737,Assistant Coach,2
1628770,2021-03-26 19:04:40.684,2021-03-26 19:05:40.635,1628770,Matt Hill,1610612737,Assistant Coach,2
1831,2021-03-26 19:04:40.687,2021-03-26 19:05:40.642,1831,Marlon Garnett,1610612737,Assistant Coach,2
1628764,2021-03-26 19:04:40.629,2021-03-26 19:05:40.649,1628764,Scottie Parker,1610612737,Trainer,3
1627877,2021-03-26 19:04:40.694,2021-03-26 19:05:41.283,1627877,Jordan Ott,1610612751,Assistant Coach,2
1628803,2021-03-26 19:04:40.695,2021-03-26 19:05:41.322,1628803,Ryan Forehan-Kelly,1610612751,Assistant Coach,2
201168,2021-03-26 19:04:40.747,2021-03-26 19:05:41.332,201168,Tiago Splitter,1610612751,Assistant Coach for Player Development,12
203550,2021-03-26 19:04:40.766,2021-03-26 19:05:41.339,203550,Sebastien Poirier,1610612751,Trainer,3
203811,2021-03-26 19:04:40.769,2021-03-26 19:05:42.187,203811,Greg Buckner,1610612739,Assistant Coach,2
1628227,2021-03-26 19:04:40.771,2021-03-26 19:05:43.383,1628227,Drew Yoder,1610612744,Trainer,3
1630277,2021-03-26 19:04:40.774,2021-03-26 19:05:43.618,1630277,Rick Higgins,1610612745,Assistant Coach,2
202898,2021-03-26 19:04:40.78,2021-03-26 19:05:43.64,202898,Jeff Hornacek,1610612745,Assistant Coach,2
1627657,2021-03-26 19:04:40.782,2021-03-26 19:05:43.647,1627657,Will Weaver,1610612745,Assistant Coach,2
1257,2021-03-26 19:04:40.783,2021-03-26 19:05:43.671,1257,Keith Jones,1610612745,Trainer,3
202431,2021-03-26 19:04:40.569,2021-03-26 19:05:43.68,202431,Jason Biles,1610612745,Trainer,3
203785,2021-03-26 19:04:40.631,2021-03-26 19:05:43.894,203785,Greg Foster,1610612754,Assistant Coach,2
384,2021-03-26 19:04:40.785,2021-03-26 19:05:43.925,384,Calbert Cheaney,1610612754,Assistant Coach,2
203764,2021-03-26 19:04:40.787,2021-03-26 19:05:43.932,203764,Tyler Marsh,1610612754,Assistant Coach,2
1271,2021-03-26 19:04:40.57,2021-03-26 19:05:44.223,1271,Larry Drew,1610612746,Assistant Coach,2
2010,2021-03-26 19:04:40.633,2021-03-26 19:05:44.239,2010,Jasen Powell,1610612746,Trainer,3
203797,2021-03-26 19:04:40.575,2021-03-26 19:05:44.779,203797,Brad Jones,1610612763,Assistant Coach,2
204011,2021-03-26 19:04:40.636,2021-03-26 19:05:44.786,204011,Darko Rajakovic,1610612763,Assistant Coach,2
2406,2021-03-26 19:04:40.697,2021-03-26 19:05:45.04,2406,Caron Butler,1610612748,Assistant Coach,2
204224,2021-03-26 19:04:40.578,2021-03-26 19:05:45.292,204224,Ben Sullivan,1610612749,Assistant Coach,2
204225,2021-03-26 19:04:40.639,2021-03-26 19:05:45.299,204225,Charles Lee,1610612749,Assistant Coach,2
452,2021-03-26 19:04:40.641,2021-03-26 19:05:45.325,452,Vin Baker,1610612749,Assistant Coach,2
1277,2021-03-26 19:04:40.582,2021-03-26 19:05:45.779,1277,Stan Van Gundy,1610612740,Head Coach,1
201676,2021-03-26 19:04:40.646,2021-03-26 19:05:45.785,201676,Fred Vinson,1610612740,Assistant Coach,2
100101,2021-03-26 19:04:40.727,2021-03-26 19:05:45.798,100101,Teresa Weatherspoon,1610612740,Assistant Coach,2
777,2021-03-26 19:04:40.729,2021-03-26 19:05:45.831,777,Rex Walters,1610612740,Assistant Coach,2
1630382,2021-03-26 19:04:40.731,2021-03-26 19:05:45.837,1630382,Tom Maystadt,1610612740,Trainer,3
1285,2021-03-26 19:04:40.679,2021-03-26 19:05:46.085,1285,Mike Woodson,1610612752,Assistant Coach,2
1627341,2021-03-26 19:04:40.565,2021-03-26 19:05:46.637,1627341,Mike Batiste,1610612753,Assistant Coach,2
