id,createdAt,updatedAt,primary,secondary,teamId
1,2021-03-26 19:04:40.82,2021-03-26 19:04:40.82,#002D62,#FDBB30,1610612754
2,2021-03-26 19:04:40.828,2021-03-26 19:04:40.828,#0C2340,#236192,1610612750
3,2021-03-26 19:04:40.834,2021-03-26 19:04:40.834,#CE1141,#000000,1610612741
4,2021-03-26 19:04:40.839,2021-03-26 19:04:40.839,#CE1141,#000000,1610612761
5,2021-03-26 19:04:40.843,2021-03-26 19:04:40.843,# 002B5C,#E31837,1610612764
6,2021-03-26 19:04:40.847,2021-03-26 19:04:40.847,#C4CED4,#000000,1610612759
7,2021-03-26 19:04:40.87,2021-03-26 19:04:40.87,#5A2D81,#63727A,1610612758
8,2021-03-26 19:04:40.875,2021-03-26 19:04:40.875,#002B5C,#F9A01B,1610612762
9,2021-03-26 19:04:40.879,2021-03-26 19:04:40.879,#98002E,#000000,1610612748
10,2021-03-26 19:04:40.883,2021-03-26 19:04:40.883,#E03A3E,#000000,1610612757
11,2021-03-26 19:04:40.887,2021-03-26 19:04:40.887,#1D1160,#E56020,1610612756
12,2021-03-26 19:04:40.891,2021-03-26 19:04:40.891,#5D76A9,#12173F,1610612763
13,2021-03-26 19:04:40.895,2021-03-26 19:04:40.895,#00471B,#EEE1C6,1610612749
14,2021-03-26 19:04:40.917,2021-03-26 19:04:40.917,#007AC1,#EF3B24,1610612760
15,2021-03-26 19:04:40.924,2021-03-26 19:04:40.924,#006BB6,#D50032,1610612755
16,2021-03-26 19:04:40.929,2021-03-26 19:04:40.929,#006BB6,#F58426,1610612752
17,2021-03-26 19:04:40.935,2021-03-26 19:04:40.935,#0C2340,#C8102E,1610612740
18,2021-03-26 19:04:40.939,2021-03-26 19:04:40.939,#C8102E,#1D428A,1610612746
19,2021-03-26 19:04:40.943,2021-03-26 19:04:40.943,#552583,#FDB927,1610612747
20,2021-03-26 19:04:40.947,2021-03-26 19:04:40.947,#0077C0,#C4CED4,1610612753
21,2021-03-26 19:04:40.969,2021-03-26 19:04:40.969,#1D428A,#FFC72C,1610612744
22,2021-03-26 19:04:40.973,2021-03-26 19:04:40.973,#0E2240,#FEC524,1610612743
23,2021-03-26 19:04:40.977,2021-03-26 19:04:40.977,#C8102E,#1D42BA,1610612765
24,2021-03-26 19:04:40.981,2021-03-26 19:04:40.981,#CE1141,#000000,1610612745
25,2021-03-26 19:04:40.985,2021-03-26 19:04:40.985,#00538C,#B8C4CA,1610612742
26,2021-03-26 19:04:40.989,2021-03-26 19:04:40.989,#000000,#FFFFFF,1610612751
27,2021-03-26 19:04:40.993,2021-03-26 19:04:40.993,#E03A3E,#C1D32F,1610612737
28,2021-03-26 19:04:40.997,2021-03-26 19:04:40.997,#007A33,#BA9653,1610612738
29,2021-03-26 19:04:41.021,2021-03-26 19:04:41.021,#860038,#041E42,1610612739
30,2021-03-26 19:04:41.026,2021-03-26 19:04:41.026,#1D1160,#00788C,1610612766
