id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
373,2021-03-26 19:04:37.948,2021-03-26 19:04:37.948,1629168,BJ Johnson,bj-johnson,,6-7,200,13,F
68,2021-03-26 19:04:37.968,2021-03-26 19:04:37.968,1628424,Kobi Simmons,kobi-simmons,,6-5,180,23,G
69,2021-03-26 19:04:37.971,2021-03-26 19:04:37.971,1629034,Ray Spalding,ray-spalding,,6-9,225,26,F
507,2021-03-26 19:04:37.974,2021-03-26 19:04:37.974,1627780,Gary Payton II,gary-payton-ii,,6-3,195,20,G
510,2021-03-26 19:04:37.977,2021-03-26 19:04:37.977,101133,Ian Mahinmi,ian-mahinmi,,6-11,262,28,C
35,2021-03-26 19:04:37.979,2021-03-26 19:04:37.979,2037,Jamal Crawford,jamal-crawford,,6-5,200,1,G
40,2021-03-26 19:04:37.982,2021-03-26 19:04:37.982,1629058,Dzanan Musa,dzanan-musa,,6-9,217,13,G-F
71,2021-03-26 19:04:38.24,2021-03-26 19:04:38.24,1627885,Shaquille Harrison,shaquille-harrison,,6-7,190,3,G
137,2021-03-26 19:04:38.242,2021-03-26 19:04:38.242,203943,Noah Vonleh,noah-vonleh,,6-10,257,32,F
1627759,2021-03-26 19:04:37.988,2021-03-26 19:05:40.733,1627759,Jaylen Brown,jaylen-brown,1610612738,6-6,223,7,G-F
202689,2021-03-26 19:04:37.991,2021-03-26 19:05:40.741,202689,Kemba Walker,kemba-walker,1610612738,6-0,184,8,G
1629684,2021-03-26 19:04:37.993,2021-03-26 19:05:40.783,1629684,Grant Williams,grant-williams,1610612738,6-6,236,12,F
1628400,2021-03-26 19:04:37.995,2021-03-26 19:05:40.843,1628400,Semi Ojeleye,semi-ojeleye,1610612738,6-6,240,37,F
1629057,2021-03-26 19:04:37.998,2021-03-26 19:05:40.85,1629057,Robert Williams III,robert-williams-iii,1610612738,6-8,237,44,C-F
1629641,2021-03-26 19:04:38.017,2021-03-26 19:05:40.876,1629641,Romeo Langford,romeo-langford,1610612738,6-4,216,45,G-F
1629682,2021-03-26 19:04:38.021,2021-03-26 19:05:40.884,1629682,Tremont Waters,tremont-waters,1610612738,5-10,175,51,G
1629605,2021-03-26 19:04:38.023,2021-03-26 19:05:40.892,1629605,Tacko Fall,tacko-fall,1610612738,7-5,311,99,C
1629185,2021-03-26 19:04:38.026,2021-03-26 19:05:41.043,1629185,Chris Chiozza,chris-chiozza,1610612751,5-11,175,4,G
201142,2021-03-26 19:04:38.028,2021-03-26 19:05:41.074,201142,Kevin Durant,kevin-durant,1610612751,6-10,240,7,F
