id,createdAt,updatedAt,handle,name,slug,teamId,height,weight,number,position
1630167,2021-03-26 04:41:01.43,2021-03-26 04:41:01.43,1630167,Obi Toppin,obi-toppin,1610612752,6-9,220,1,F
1629164,2021-03-26 04:41:01.439,2021-03-26 04:41:01.439,1629164,Brandon Goodwin,brandon-goodwin,1610612737,6-0,180,0,G
1630193,2021-03-26 04:41:01.445,2021-03-26 04:41:01.445,1630193,Immanuel Quickley,immanuel-quickley,1610612752,6-3,190,5,G
1629750,2021-03-26 04:41:01.451,2021-03-26 04:41:01.451,1629750,Javonte Green,javonte-green,1610612738,6-4,205,43,G-F
201587,2021-03-26 04:41:01.457,2021-03-26 04:41:01.457,201587,Nicolas Batum,nicolas-batum,1610612746,6-8,230,33,G-F
1630177,2021-03-26 04:41:01.464,2021-03-26 04:41:01.464,1630177,Theo Maledon,theo-maledon,1610612760,6-4,175,11,G
1629057,2021-03-26 04:41:01.469,2021-03-26 04:41:01.469,1629057,Robert Williams III,robert-williams-iii,1610612738,6-8,237,44,C-F
1630221,2021-03-26 04:41:01.475,2021-03-26 04:41:01.475,1630221,Josh Hall,josh-hall,1610612760,6-9,190,15,F
1629641,2021-03-26 04:41:01.48,2021-03-26 04:41:01.48,1629641,Romeo Langford,romeo-langford,1610612738,6-4,216,45,G-F
1630197,2021-03-26 04:41:01.486,2021-03-26 04:41:01.486,1630197,Aleksej Pokusevski,aleksej-pokusevski,1610612760,7-0,190,17,C
1630169,2021-03-26 04:41:01.492,2021-03-26 04:41:01.492,1630169,Tyrese Haliburton,tyrese-haliburton,1610612758,6-5,185,0,G
1629676,2021-03-26 04:41:01.499,2021-03-26 04:41:01.499,1629676,Isaiah Roby,isaiah-roby,1610612760,6-8,230,22,F
1629185,2021-03-26 04:41:01.504,2021-03-26 04:41:01.504,1629185,Chris Chiozza,chris-chiozza,1610612751,5-11,175,4,G
201142,2021-03-26 04:41:01.509,2021-03-26 04:41:01.509,201142,Kevin Durant,kevin-durant,1610612751,6-10,240,7,F
373,2021-03-26 04:41:01.515,2021-03-26 04:41:01.515,1629168,BJ Johnson,bj-johnson,1610612753,6-7,200,13,F
1628371,2021-03-26 04:41:01.521,2021-03-26 04:41:01.521,1628371,Jonathan Isaac,jonathan-isaac,1610612753,6-11,230,1,F
1628369,2021-03-26 04:41:01.527,2021-03-26 04:41:01.527,1628369,Jayson Tatum,jayson-tatum,1610612738,6-8,210,0,F-G
1629643,2021-03-26 04:41:01.533,2021-03-26 04:41:01.533,1629643,Chuma Okeke,chuma-okeke,1610612753,6-6,229,3,F
1627759,2021-03-26 04:41:01.548,2021-03-26 04:41:01.548,1627759,Jaylen Brown,jaylen-brown,1610612738,6-6,223,7,G-F
1630211,2021-03-26 04:41:01.554,2021-03-26 04:41:01.554,1630211,Karim Mane,karim-mane,1610612753,6-3,190,4,G
202689,2021-03-26 04:41:01.56,2021-03-26 04:41:01.56,202689,Kemba Walker,kemba-walker,1610612738,6-0,184,8,G
1628407,2021-03-26 04:41:01.565,2021-03-26 04:41:01.565,1628407,Dwayne Bacon,dwayne-bacon,1610612753,6-6,221,8,G-F
1629684,2021-03-26 04:41:01.571,2021-03-26 04:41:01.571,1629684,Grant Williams,grant-williams,1610612738,6-6,236,12,F
1628464,2021-03-26 04:41:01.577,2021-03-26 04:41:01.577,1628464,Daniel Theis,daniel-theis,1610612738,6-8,245,27,F-C
203516,2021-03-26 04:41:01.582,2021-03-26 04:41:01.582,203516,James Ennis III,james-ennis-iii,1610612753,6-6,215,11,F
1628400,2021-03-26 04:41:01.589,2021-03-26 04:41:01.589,1628400,Semi Ojeleye,semi-ojeleye,1610612738,6-6,240,37,F
1626184,2021-03-26 04:41:01.597,2021-03-26 04:41:01.597,1626184,Chasson Randle,chasson-randle,1610612753,6-2,185,25,G
1629682,2021-03-26 04:41:01.603,2021-03-26 04:41:01.603,1629682,Tremont Waters,tremont-waters,1610612738,5-10,175,51,G
1630175,2021-03-26 04:41:01.609,2021-03-26 04:41:01.609,1630175,Cole Anthony,cole-anthony,1610612753,6-2,185,50,G
