id,createdAt,updatedAt,handle,name,slug,city,abbreviation,logo,logoSlug,wins,losses,winPercentage,conference,division,established,primaryColor,secondaryColor
1610612738,2021-03-26 04:08:51.212,2021-03-26 04:09:17.499,1610612738,Celtics,celtics,Boston,BOS,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/boston-celtics-logo.png,boston-celtics-logo,21,23,0.477,East,Atlantic,1946,#007A33,#BA9653
1610612751,2021-03-26 04:08:51.201,2021-03-26 04:09:18.883,1610612751,Nets,nets,Brooklyn,BKN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/brooklyn-nets-logo.png,brooklyn-nets-logo,30,15,0.667,East,Atlantic,1976,#000000,#FFFFFF
1610612741,2021-03-26 04:08:51.195,2021-03-26 04:09:21.642,1610612741,Bulls,bulls,Chicago,CHI,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/chicago-bulls-logo.png,chicago-bulls-logo,19,24,0.442,East,Central,1966,#CE1141,#000000
1610612739,2021-03-26 04:08:51.209,2021-03-26 04:09:22.914,1610612739,Cavaliers,cavaliers,Cleveland,CLE,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/cleveland-cavaliers-logo.png,cleveland-cavaliers-logo,17,27,0.386,East,Central,1970,#860038,#041E42
1610612742,2021-03-26 04:08:51.169,2021-03-26 04:09:24.321,1610612742,Mavericks,mavericks,Dallas,DAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/dallas-mavericks-logo.png,dallas-mavericks-logo,23,19,0.548,West,Southwest,1980,#00538C,#B8C4CA
1610612743,2021-03-26 04:08:51.18,2021-03-26 04:09:25.613,1610612743,Nuggets,nuggets,Denver,DEN,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/denver-nuggets-logo.png,denver-nuggets-logo,26,18,0.591,West,Northwest,1976,#0E2240,#FEC524
1610612765,2021-03-26 04:08:51.189,2021-03-26 04:09:26.901,1610612765,Pistons,pistons,Detroit,DET,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/detroit-pistons-logo.png,detroit-pistons-logo,12,31,0.27899999999999997,East,Central,1948,#C8102E,#1D42BA
1610612744,2021-03-26 04:08:51.191,2021-03-26 04:09:28.253,1610612744,Warriors,warriors,Golden State,GSW,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526601/nba-logos/golden-state-warriors-logo.png,golden-state-warriors-logo,22,22,0.5,West,Pacific,1946,#1D428A,#FFC72C
1610612745,2021-03-26 04:08:51.228,2021-03-26 04:09:29.993,1610612745,Rockets,rockets,Houston,HOU,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/houston-rockets-logo.png,houston-rockets-logo,12,31,0.27899999999999997,West,Southwest,1967,#CE1141,#000000
1610612754,2021-03-26 04:08:51.183,2021-03-26 04:09:31.876,1610612754,Pacers,pacers,Indiana,IND,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/indiana-pacers-logo.png,indiana-pacers-logo,20,23,0.46499999999999997,East,Central,1976,#002D62,#FDBB30
1610612746,2021-03-26 04:08:51.174,2021-03-26 04:09:33.473,1610612746,Clippers,clippers,LA,LAC,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/los-angeles-clippers-logo.png,los-angeles-clippers-logo,30,16,0.652,West,Pacific,1970,#C8102E,#1D428A
1610612747,2021-03-26 04:08:51.221,2021-03-26 04:09:36.202,1610612747,Lakers,lakers,Los Angeles,LAL,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/los-angeles-lakers-logo.png,los-angeles-lakers-logo,28,16,0.636,West,Pacific,1948,#552583,#FDB927
1610612763,2021-03-26 04:08:51.165,2021-03-26 04:09:37.85,1610612763,Grizzlies,grizzlies,Memphis,MEM,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526602/nba-logos/memphis-grizzlies-logo.png,memphis-grizzlies-logo,21,20,0.512,West,Southwest,1995,#5D76A9,#12173F
1610612748,2021-03-26 04:08:51.16,2021-03-26 04:09:39.582,1610612748,Heat,heat,Miami,MIA,https://res.cloudinary.com/dbc3x3s7c/image/upload/v1611526603/nba-logos/miami-heat-logo.png,miami-heat-logo,22,23,0.489,East,Southeast,1988,#98002E,#000000
